Time(s)	X(pixels)	Y(pixels)
0.0000	1527.55	442.77
0.0333	1527.55	442.77
0.0999	1527.55	442.47
0.1332	1527.52	442.53
0.1665	1527.25	442.98
0.1998	1527.46	443.14
0.2331	1527.28	443.05
0.2664	1527.25	442.98
0.2997	1527.45	442.66
0.3330	1527.45	442.66
0.3664	1526.97	443.11
0.3997	1526.98	442.93
0.4330	1528.05	443.38
0.4663	1528.05	443.38
0.4996	1528.00	443.00
0.5330	1528.03	443.29
0.5663	1527.50	442.98
0.5996	1527.63	444.43
0.6377	1527.47	445.15
0.6662	1527.76	445.24
0.6995	1527.01	446.82
0.7327	1526.82	448.19
0.7660	1527.79	450.39
0.7992	1527.77	452.26
0.8381	1527.91	454.76
0.8660	1527.81	457.89
0.8993	1526.96	461.99
0.9327	1527.67	467.83
0.9661	1526.59	472.57
0.9994	1528.42	481.18
1.0386	1526.89	488.04
1.0659	1526.96	496.60
1.0992	1527.80	507.93
1.1324	1526.71	518.47
1.1657	1526.80	532.62
1.1990	1525.45	545.81
1.2323	1524.64	555.96
1.2655	1524.18	567.09
1.3044	1522.19	578.07
1.3324	1522.14	584.97
1.3656	1521.46	590.33
1.3989	1522.14	593.66
1.4322	1521.84	592.84
1.4654	1523.10	591.13
1.4987	1524.34	588.24
1.5374	1524.09	585.24
1.5761	1526.41	582.70
1.5988	1526.66	580.54
1.6321	1527.54	579.54
1.6654	1527.75	579.95
1.6987	1527.49	581.35
1.7320	1527.64	583.89
1.7652	1527.60	586.10
1.8039	1527.22	588.72
1.8320	1527.27	590.36
1.8653	1527.35	591.22
1.8986	1527.59	592.35
1.9319	1527.58	591.92
1.9653	1528.10	590.89
2.0039	1527.96	589.95
2.0425	1528.25	588.97
2.0811	1528.46	588.45
2.0985	1528.27	588.23
2.1318	1528.62	588.31
2.1651	1527.52	589.40
2.1983	1527.84	589.46
2.2380	1527.65	591.05
2.2650	1526.99	591.30
2.2983	1527.20	591.27
2.3316	1526.79	591.49
2.3649	1528.18	591.58
2.3982	1528.14	591.25
2.4315	1526.95	591.18
2.4711	1527.06	591.07
2.4982	1526.46	591.49
2.5315	1526.86	591.43
2.5648	1526.47	591.57
2.5981	1526.48	591.51
2.6314	1526.53	591.62
2.6647	1526.04	592.02
2.6980	1526.77	591.51
2.7374	1526.76	591.47
2.7646	1526.77	591.78
2.7980	1526.71	591.83
2.8313	1526.32	592.34
2.8646	1526.57	592.33
2.8980	1526.33	592.30
2.9313	1526.51	592.19
2.9707	1526.55	592.30
2.9978	1526.52	592.38
3.0314	1526.61	592.52
