default first row
0.76 205 2.975 1.35 
0.76 205 2.975 1.35 
0.76 205 2.975 1.35 
0.39 107.5 1.9625 1.025 
1.13 107.5 3.9875 1.675 
0.39 302.5 1.9625 1.025 
0.575 58.75 2.46875 1.1875 
0.39 107.5 1.9625 1.675 
0.39 107.5 3.9875 1.025 
0.205 58.75 1.45625 0.8625 
0.205 156.25 1.45625 1.8375 
0.205 156.25 1.45625 1.1875 
0.4825 34.375 2.21563 1.26875 
1.13 302.5 1.9625 1.025 
1.315 253.75 2.46875 0.8625 
0.6675 83.125 2.21563 1.10625 
1.315 351.25 1.45625 1.1875 
0.945 253.75 1.45625 0.8625 
1.0375 278.125 1.20312 0.78125 
0.945 351.25 1.45625 0.8625 
0.575 156.25 1.45625 0.8625 
0.99125 290.312 1.07656 0.821875 
0.39 302.5 1.9625 1.675 
1.13 107.5 1.9625 1.025 
1.08375 265.938 1.07656 0.740625 
0.575 351.25 1.45625 1.8375 
0.205 351.25 1.45625 1.5125 
1.06062 272.031 1.01328 0.760938 
0.575 351.25 1.45625 1.5125 
1.0375 375.625 1.70937 0.78125 
1.08375 363.438 1.83594 0.740625 
0.945 58.75 2.46875 0.8625 
0.945 351.25 2.46875 1.1875 
1.10687 357.344 1.89922 0.720312 
0.575 253.75 1.45625 1.1875 
0.8525 326.875 2.72187 1.10625 
0.89875 314.688 2.84844 1.06562 
0.1125 375.625 1.70937 1.59375 
0.1125 375.625 1.70937 1.43125 
0.875625 308.594 2.91172 1.08594 
1.0375 34.375 2.72187 0.78125 
1.08375 387.812 1.83594 0.821875 
0.921875 320.781 2.91172 1.04531 
1.13 302.5 3.9875 1.675 
0.2975 375.625 1.20312 1.59375 
0.933437 323.828 2.94336 1.03516 
1.315 351.25 4.49375 1.8375 
0.945 156.25 2.46875 0.8625 
0.8525 131.875 2.72187 0.78125 
0.8525 131.875 2.72187 0.94375 
0.8525 375.625 2.72187 1.26875 
0.4825 375.625 1.70937 1.43125 
0.205 351.25 2.46875 1.8375 
0.205 253.75 2.46875 1.5125 
0.2975 278.125 2.72187 1.43125 
0.1125 278.125 2.72187 1.59375 
0.1125 375.625 2.21563 1.91875 
0.945 58.75 2.46875 1.1875 
0.575 58.75 4.49375 0.8625 
1.315 58.75 4.49375 1.8375 
1.315 58.75 2.46875 0.8625 
0.575 156.25 4.49375 1.1875 
0.6675 180.625 4.74688 1.10625 
0.575 351.25 2.46875 1.1875 
0.205 351.25 1.45625 0.8625 
1.315 351.25 2.46875 0.8625 
1.4075 375.625 2.72187 0.78125 
0.205 156.25 1.45625 1.5125 
0.8525 375.625 2.72187 1.10625 
1.0375 131.875 2.72187 0.78125 
0.4825 180.625 4.74688 1.26875 
0.52875 387.812 1.58281 1.39062 
1.0375 180.625 2.72187 0.94375 
0.554871 380.803 1.85088 1.29477 
